time,pm2p5
2024-01-01,8.74119e-09
2024-01-02,9.64714e-09
2024-01-03,8.708387e-09
2024-01-04,6.449507e-09
2024-01-05,6.287277e-09
2024-01-06,7.621727e-09
2024-01-07,7.2464146e-09
2024-01-08,5.421915e-09
2024-01-09,6.3867844e-09
2024-01-10,7.574444e-09
2024-01-11,8.208766e-09
2024-01-12,7.888335e-09
2024-01-13,8.73066e-09
2024-01-14,9.953477e-09
2024-01-15,1.13783445e-08
2024-01-16,1.0381317e-08
2024-01-17,1.102789e-08
2024-01-18,9.850879e-09
2024-01-19,1.1565942e-08
2024-01-20,1.1090877e-08
2024-01-21,1.0767305e-08
2024-01-22,1.3035428e-08
2024-01-23,1.1584554e-08
2024-01-24,1.1737393e-08
2024-01-25,7.966028e-09
2024-01-26,9.310605e-09
2024-01-27,8.671399e-09
2024-01-28,9.6782795e-09
2024-01-29,9.463275e-09
2024-01-30,8.797289e-09
2024-01-31,1.1507598e-08
